entity,code,pop1990,pop2000,pop2012,pop2024,is_country
Jamaica,JAM,2379880.0,2607827.0,2772432.0,2839182.0,True
Japan,JPN,123399767.0,127027794.0,127928283.0,123753041.0,True
Jersey,JEY,84210.0,87853.0,98927.0,103857.0,False
Jordan,JOR,3621915.0,5386945.0,7587133.0,11552885.0,True
Kazakhstan,KAZ,17154060.0,15501108.0,17306115.0,20592574.0,True
Kenya,KEN,22892655.0,30642893.0,43888306.0,56432946.0,True
Kiribati,KIR,74872.0,88632.0,112293.0,134521.0,False
Kosovo,OWID_KOS,1973789.0,1802488.0,1806538.0,1684796.0,False
Kuwait,KWT,1684833.0,1954713.0,3337025.0,4934508.0,True
Kyrgyzstan,KGZ,4459545.0,5025150.0,5696521.0,7186014.0,True
Laos,LAO,4311960.0,5431213.0,6518981.0,7769823.0,True
Latin America and the Caribbean (UN),UN_LAC,441884652.0,521323343.0,601576915.0,663466076.0,False
Latvia,LVA,2660131.0,2368320.0,2034639.0,1871874.0,True
Lebanon,LBN,3595175.0,4329345.0,5235742.0,5805962.0,True
Lesotho,LSO,1809698.0,2003919.0,2034363.0,2337428.0,True
Liberia,LBR,2223667.0,2928117.0,4373046.0,5612813.0,True
Libya,LBY,4445243.0,5305020.0,6179327.0,7381029.0,True
Liechtenstein,LIE,28912.0,33137.0,36621.0,39895.0,False
Lithuania,LTU,3695016.0,3500410.0,2988334.0,2859112.0,True
Low-income countries,OWID_LIC,288949572.0,384939764.0,542351002.0,747152720.0,False
Lower-middle-income countries,OWID_LMC,1586970750.0,1974655348.0,2455038495.0,2907550149.0,False
Luxembourg,LUX,381707.0,436142.0,530951.0,673042.0,True
Macao,MAC,351123.0,437316.0,587450.0,720270.0,False
Madagascar,MDG,12055649.0,16516336.0,23462444.0,31964960.0,True
Malawi,MWI,9545860.0,11315947.0,15709577.0,21655288.0,True
Malaysia,MYS,17833179.0,22967817.0,29662835.0,35557670.0,True
Maldives,MDV,224772.0,282025.0,386821.0,527801.0,False
Mali,MLI,9178826.0,11559291.0,16957039.0,24478597.0,True
Malta,MLT,367913.0,399905.0,426616.0,539612.0,False
Marshall Islands,MHL,44648.0,50721.0,51438.0,37572.0,False
Martinique,MTQ,370999.0,421388.0,391741.0,343201.0,False
Mauritania,MRT,1951881.0,2613450.0,3619035.0,5169403.0,True
Mauritius,MUS,1089033.0,1216632.0,1289174.0,1271171.0,False
Mayotte,MYT,89606.0,156511.0,219008.0,326512.0,False
Mexico,MEX,82820170.0,98625553.0,116818208.0,130861001.0,True
Micronesia (country),FSM,100904.0,112067.0,107908.0,113171.0,False
Moldova,MDA,4451150.0,4234969.0,3482629.0,3034967.0,True
Monaco,MCO,30382.0,32477.0,34738.0,38657.0,False
Mongolia,MNG,2164578.0,2455182.0,2795463.0,3475541.0,True
Montenegro,MNE,620507.0,634198.0,633546.0,638481.0,True
