code,eia_name,eia_1980,eia_1981,eia_1982,eia_1983,eia_1984,eia_1985,eia_1986,eia_1987,eia_1988,eia_1989,eia_1990,eia_1991,eia_1992,eia_1993,eia_1994,eia_1995,eia_1996,eia_1997,eia_1998,eia_1999,eia_2000,eia_2001,eia_2002,eia_2003,eia_2004,eia_2005
GBR,United Kingdom,265.139,258.95,254.029,257.545,262.24699999999996,275.22,279.82800000000003,284.196,289.082,295.244,298.951,302.244,300.14099999999996,300.474,302.83299999999997,308.24045,329.19599999999997,327.371,340.84700000000004,344.60195,353.07095,360.5509,363.054,372.89575,367.94800000000004,372.594
AZE,Azerbaijan,,,,,,,,,,,,,18.58,18.074,16.609,16.1,16.14,15.912,17.015,17.162,17.654,17.896,18.472,20.131,20.483,20.096
KAZ,Kazakhstan,,,,,,,,,,,,,78.557,73.56,63.242999999999995,63.176,55.952999999999996,49.49,46.604,44.956,48.914,52.433,55.276,60.421,62.307,64.233
RUS,Russia,,,,,,,,,,,,,965.924,914.9159999999999,810.0169999999999,817.304,806.433,795.978,787.795,799.89,832.9769999999999,843.2710000000001,847.0559999999999,869.066,886.31,904.404
TJK,Tajikistan,,,,,,,,,,,,,16.609,17.532999999999998,16.798000000000002,14.612,14.841999999999999,13.85,14.265,15.621,14.088,14.222,15.131,16.325,16.323999999999998,16.894000000000002
UKR,Ukraine,,,,,,,,,,,,,238.57799999999997,217.219,191.79899999999998,183.37199999999999,173.447,168.412,163.166,162.12699999999998,160.13,163.263,163.87,170.18200000000002,172.715,175.37900000000002
UZB,Uzbekistan,,,,,,,,,,,,,48.17,46.568,45.289,44.907,43.02,43.579,43.433,42.866,44.323,44.949,46.669,46.754000000000005,48.295,45.151
IRN,Iran,21.256,23.653,27.333,31.336,35.252,35.316,34.9,35.955,44.258,45.789,55.86,60.631,64.979,71.947,77.47099999999999,76.105,81.25699999999999,87.718,93.40599999999999,102.248,112.802,121.015,131.415,142.85899999999998,155.71,170.37199999999999
IRQ,Iraq,10.736,10.313,12.869,15.258,17.307,19.765,20.989,22.835,25.801,27.196,20.72,19.020999999999997,23.817,24.752000000000002,26.348,27.288,27.464,27.816,28.566,27.971,30.017,30.346999999999998,31.857,26.662,30.381999999999998,31.985
ISR,Israel,11.731,12.278,12.947,13.703,14.014,14.434,14.96,16.374000000000002,18.191000000000003,19.226,19.643,20.224,23.207,24.446,26.625,28.566,30.519000000000002,32.994,35.687999999999995,36.865,40.391999999999996,41.208,42.643,44.221,46.18,46.851
